morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
1,2,1,4
1,3,1,4
1,3,1,3
1,5,1,4
1,4,1,9
1,5,1,3
1,4,1,3
1,2,1,2
1,3,1,2
1,3,1,2
1,5.5,1,2
1,2,1,2
2,1.5,1,2.33
2,1.5,1,3
2,1.5,1,3
2,2.5,1,3
2,3,1,3
2,1,1,3
2,1.5,1,3
2,2,1,4
2,2,1,5
2,2.5,1,5
3,1,1,6
3,2.333333333,1,3
3,1,1,11
4,1,2,2.5
4,1.625,2,2.5
5,1.4,2,2.5
,,2,4
,,2,1
,,2,1.5
,,2,1
,,2,1.5
,,2,3
,,2,6.5
,,3,1.333333333
,,3,1.666666667
,,3,2.333333333
,,4,1
,,4,1.25
,,4,2
,,4,2.25
,,5,1.4
,,5,3.8
,,8,2.8125
,,16,2.25
