morph_number_nu,sample_nu
1,43
1,22
1,70
1,116
1,31
1,32
1,37
1,48
1,50
1,19
1,46
1,163
1,113
1,100
1,34
1,31
1,47
1,216
1,46
1,30
1,10
1,35
1,38
1,39
1,41
1,43
1,45
1,47
1,51
1,60
1,61
1,68
1,81
1,105
1,120
1,428
2,34
2,15.5
2,10
2,14.5
2,19
2,34.5
3,38
3,13.33333333
3,15
3,120.6666667
3,72.66666667
3,28
3,13.66666667
3,23.33333333
3,56.33333333
4,18.5
4,29.5
4,14.25
4,16.25
4,37.5
4,16
4,18.75
4,21.75
4,22
4,15
5,18.6
5,14.6
6,10.16666667
6,15.66666667
6,10.83333333
6,11.5
6,20.83333333
6,42.83333333
7,22.42857143
7,16.57142857
9,17.55555556
12,11.25
